Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
VAN DEN HURK,Jan,TWI,0,1,5.65,6,0,0,0,0,14.1,19,13,9,2,6,1,0,0,59,0.322,2,0,0,0,0,12,19
VAN DEN OUWEELEN,Just,PIO,1,3,5.14,8,6,0,0,0,28.0,26,24,16,24,21,7,0,0,105,0.248,2,2,1,2,1,33,23
VAN DER SCHOUW,Lucca,RCH,0,2,5.56,7,4,0,0,0,22.2,27,15,14,9,14,3,1,1,89,0.303,2,1,0,2,1,17,33
VAN ES,Jesse,PIO,0,0,10.57,9,0,0,0,0,15.1,25,20,18,20,10,3,0,0,65,0.385,2,2,1,3,0,14,18
VAN GOOL,Onne,TWI,0,0,12.00,2,0,0,0,0,3.0,4,4,4,4,7,0,0,0,12,0.333,3,0,1,1,0,0,2
VAN GORKUM,Luca,PIO,0,0,13.50,5,0,0,0,0,4.0,3,9,6,10,5,0,0,0,16,0.188,5,2,0,0,0,6,2
VAN HOLY,Vince,QUI,0,0,6.75,5,1,0,0,0,8.0,8,6,6,13,4,2,0,0,28,0.286,0,2,0,2,0,6,12
VAN HORIK,Jay,QUI,0,1,18.00,5,0,0,0,0,4.0,5,8,8,11,3,0,0,0,17,0.294,0,0,0,0,0,3,6
VAN LAAR,Brian,UVV,0,0,0.00,4,0,0,0,0,7.2,7,0,0,6,10,0,0,0,28,0.250,0,0,0,0,0,6,4
VAN LAAR,Colin,UVV,0,2,7.36,5,2,0,0,0,11.0,14,9,9,6,6,4,0,0,47,0.298,2,0,1,0,0,10,16
VAN LEERSUM,Deef,UVV,0,1,7.94,5,0,0,0,0,5.2,8,5,5,4,1,2,0,1,23,0.348,0,0,0,0,0,8,6
VAN ZIJL,Jurjen,UVV,3,2,4.46,6,5,0,1,0,40.1,48,22,20,9,24,5,1,1,161,0.298,3,5,0,2,2,39,50
VAN ZOELEN,Dieudonne,RCH,0,0,27.00,4,0,0,0,0,3.2,3,11,11,12,3,2,0,0,14,0.214,2,1,0,1,0,6,2
VANTHILLO,Owen,TWI,0,0,0.00,1,0,0,0,0,2.0,1,0,0,0,2,0,0,0,7,0.143,0,0,0,0,0,1,3
VERKRUIJSSEN,Kimi,AMS,0,0,4.50,1,0,0,0,0,2.0,4,1,1,0,1,0,0,0,9,0.444,1,0,0,0,0,1,3
VIJFVINKEL,Pim,AMS,2,1,2.55,6,3,0,0,0,24.2,26,9,7,7,23,3,0,0,92,0.283,0,1,2,0,4,23,24
VISSER,Luuk,TWI,0,0,0.00,1,0,0,0,0,0.2,0,0,0,1,0,0,0,0,2,0.000,1,0,0,1,0,0,2
VORK,Moreno,RCH,2,1,4.22,7,0,0,0,0,10.2,11,10,5,5,5,1,0,0,47,0.234,4,1,1,0,1,14,14
VOS,Daniel,AMS,0,0,4.50,2,0,0,0,0,2.0,4,1,1,0,1,0,0,0,9,0.444,0,1,0,0,0,2,2
WAGNER,Jack,TWI,2,2,2.29,7,6,0,0,0,35.1,33,12,9,14,23,5,1,1,135,0.244,2,0,0,2,2,35,43
WERKMAN,Koen,HCA,0,0,0.00,2,0,0,0,0,3.0,1,0,0,0,0,1,0,0,10,0.100,0,1,1,0,0,6,3
WINKEL,Eeuwe,RCH,1,0,8.68,5,0,0,0,0,9.1,14,9,9,5,6,2,0,0,40,0.350,1,0,3,0,0,9,10
WOUT,Sean,UVV,0,0,19.29,3,0,0,0,0,2.1,3,8,5,5,0,1,0,0,9,0.333,1,2,0,1,0,4,3
YNTEMA,Orlando,RCH,2,1,3.38,4,1,0,0,0,13.1,11,5,5,9,6,1,0,0,47,0.234,1,2,0,0,0,16,14
ZWITSER,Jurgen,TWI,0,0,0.00,1,0,0,0,0,0.2,1,0,0,2,0,0,0,0,3,0.333,0,0,0,0,0,2,0
