Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
CASTAÑO,Joaquín,SBO,0,0,4.91,6,0,0,0,0,11.0,12,7,6,1,5,3,2,0,43,0.279,0,2,1,0,0,11,14
CASTILLO,Yohar,VIL,0,0,11.57,1,0,0,0,0,2.1,0,3,3,5,2,0,0,0,8,0.000,4,0,0,0,0,3,2
CONTELL,Arturo,ANT,0,0,15.43,2,1,0,0,0,2.1,2,4,4,5,1,1,0,0,8,0.250,3,1,0,0,0,1,4
DELGADO,Jonathan,IRA,1,6,13.50,7,6,0,0,0,24.0,29,39,36,39,15,10,1,0,92,0.315,18,7,1,4,1,27,23
DIAZ,Jose,MAR,5,0,2.54,7,6,1,1,1,39.0,34,13,11,12,39,4,1,1,141,0.241,2,3,1,0,2,40,30
DÍAZ,Arnaldo,ANT,0,1,27.00,4,0,0,0,0,5.1,16,16,16,8,5,4,0,5,29,0.552,6,3,0,0,1,6,3
ESCOBAR,Yender,MIR,0,0,27.00,3,0,0,0,0,3.0,8,12,9,8,3,1,1,0,19,0.421,2,2,0,0,0,2,4
ESPEJO,Nacho,ANT,1,1,9.00,4,0,0,0,0,10.0,13,12,10,9,10,0,0,1,41,0.317,3,2,1,2,1,10,10
FIGUEIRA,Brian,AST,0,0,0.00,2,0,0,0,0,3.0,0,1,0,3,1,0,0,0,10,0.000,4,2,0,0,0,1,7
FRANCO,Yancarlo,MAR,0,0,0.00,1,0,0,0,0,0.2,0,0,0,0,1,0,0,0,2,0.000,0,0,0,0,0,0,1
GALIPOLI,Pedro,INA,0,0,0.00,3,0,0,0,0,2.1,2,0,0,2,1,1,0,0,8,0.250,0,1,0,0,0,4,1
GONZALEZ,Cesar,INA,0,1,8.10,2,0,0,0,0,3.1,2,3,3,4,1,0,1,0,11,0.182,2,6,0,0,0,5,3
GONZALEZ,HENRY,VIL,0,0,4.50,1,0,0,0,0,4.0,2,2,2,2,4,0,1,0,14,0.143,2,3,0,0,0,6,1
GONZALEZ,MANUEL,VIL,0,1,8.56,4,2,0,0,0,13.2,17,16,13,9,6,5,1,0,58,0.293,3,2,0,0,0,21,12
GONZÁLEZ,Rubén,NAV,0,0,8.76,5,1,0,0,0,12.1,11,13,12,14,12,1,0,1,41,0.268,3,2,3,0,1,7,11
GRATERON OLIVO,JOSE ALEJANDRO,ANT,1,2,8.03,4,4,0,0,0,12.1,12,12,11,15,17,3,0,1,47,0.255,6,6,0,0,0,11,6
GUZMÁN,Delson,AST,0,0,13.50,1,0,0,0,0,0.2,1,1,1,0,0,0,0,1,3,0.333,0,0,0,0,0,2,0
GÓMEZ,Elvis,TOR,0,4,8.76,6,2,0,0,0,12.1,15,19,12,14,11,1,0,1,52,0.288,5,1,0,1,1,9,14
HERNANDEZ ESPINOSA,Ruben,MAR,1,0,4.00,5,0,0,0,0,9.0,4,4,4,3,5,0,0,0,29,0.138,1,1,0,0,1,12,8
HERNÁNDEZ BLANCO,Jorge Luis,NAV,3,2,4.14,6,5,0,3,0,37.0,32,18,17,13,19,7,1,2,137,0.234,3,2,0,1,3,49,39
HERNÁNDEZ,Lionel,MIR,0,0,0.00,1,0,0,0,0,1.0,0,0,0,0,0,0,0,0,2,0.000,0,1,0,0,0,1,1
HERNÁNDEZ,Ricardo,AST,1,0,2.65,6,1,2,0,0,17.0,17,5,5,4,16,1,0,2,65,0.262,0,0,0,0,2,18,15
HERNÁNDEZ,Royd,INA,4,1,2.25,7,7,0,1,0,48.0,37,15,12,13,51,7,0,2,176,0.210,4,3,0,1,0,52,32
HERNÁNDEZ,Óscar,BCN,1,4,8.10,7,6,0,0,0,33.1,44,38,30,24,24,6,1,3,138,0.319,12,9,1,0,2,38,27
HONORA,Zael,AST,1,0,8.64,4,0,0,0,0,8.1,8,8,8,9,9,3,1,1,32,0.250,3,2,0,0,1,12,4
INFANTE,Juan,ANT,0,0,4.26,3,0,1,0,0,6.1,10,4,3,4,3,1,1,0,28,0.357,2,0,0,1,0,2,13
INOJOSA,David,NAV,1,2,10.05,6,2,1,0,0,14.1,14,20,16,17,13,3,1,2,53,0.264,3,5,1,2,1,11,17
JAIME,Ysrael,TOR,0,0,10.38,5,0,0,0,0,4.1,5,6,5,7,7,0,0,0,19,0.263,1,1,0,0,1,2,5
JIMÉNEZ,Diego,MIR,2,2,4.58,8,1,1,0,0,17.2,20,21,9,17,13,3,0,0,70,0.286,3,1,1,4,2,23,17
KINGSLEY,Francisco,TOR,1,2,4.91,6,5,0,0,0,36.2,46,24,20,9,35,7,1,2,150,0.307,3,2,0,1,0,38,30
LEYVA PERALTA,Lazaro Eliecer,INA,0,0,0.00,1,0,0,0,0,2.0,1,0,0,1,1,0,0,0,7,0.143,0,0,0,0,0,4,1
