uniform_number,player_name,position,bats,throws,ht,wt,yob
28,CHOI Seungyong,P,L,L,190,87,2001
39,CHOI Ji Min,P,L,L,185,100,2003
47,GWAK Been,P,R,R,187,95,1999
51,HONG Changki,OF,L,R,189,94,1993
29,IM Chan Kyu,P,R,R,186,88,1992
19,JO Byeonghyeon,P,R,R,182,90,2002
62,JUNG Haiyoung,P,R,R,189,98,2001
63,KIM Taekyeon,P,R,R,181,88,2005
44,KIM Seohyeon,P,R,R,188,86,2004
25,KIM Hyungjun,C,R,R,187,98,1999
7,KIM Juwon,IF,S,R,185,83,2002
5,KIM Doyeong,IF,R,R,183,85,2003
33,KIM Wheejip,IF,R,R,180,92,2002
1,KO Youngpyo,P,R,R,187,88,1991
0,KWAK Dogyu,P,L,L,185,90,2004
50,LEE Youngha,P,R,R,192,91,1997
41,LEE Juhyeong,OF,L,R,181,80,2001
10,MOON Bogyeong,IF,L,R,182,88,2000
17,NA Seungyeup,IF,L,R,190,82,2002
60,PARK Yeonghyun,P,R,R,183,91,2003
2,PARK Seonghan,IF,L,R,180,77,1998
27,PARK Dongwon,C,R,R,178,92,1990
4,SHIN Minjae,IF,L,R,171,67,1996
30,SO Hyeongjun,P,R,R,189,92,2001
24,SONG Sungmun,IF,L,R,183,88,1996
91,YOON Donghee,OF,R,R,187,85,2003
54,YOU Yeongchan,P,R,R,185,90,1997
19,CHANG Yi,P,R,R,182,86,1994
9,CHANG Cheng-Yu,IF,L,R,178,70,2000
17,CHEN Kuan-Yu,P,L,L,178,80,1990
20,CHEN Po-Ching,P,L,L,175,80,1998
24,CHEN Chieh-Hsien,OF,L,R,173,73,1994
59,CHEN Kuan-Wei,P,R,R,183,92,1996
98,CHEN Chen-Wei,OF,L,R,180,72,1997
90,CHIANG Kun-Yu,IF,R,R,175,72,2000
12,CHIANG Kuo-Hao,P,R,R,178,73,1997
14,CHIU Chih-Cheng,OF,L,L,168,80,2000
85,CHU Yu-Hsien,IF,L,L,188,100,1991
71,CHUANG Hsin Yen,P,R,R,181,91,2000
95,DAI Pei-Fong,C,L,R,182,75,2000
4,GILJEGILJAW Kungkuan,IF,R,R,180,104,1994
69,HUANG Tzu-Peng,P,R,R,183,80,1994
39,HUANG En-Sih,P,R,R,185,1100,1996
75,KUO Chun-Lin,P,R,R,175,76,1992
25,LI Kai-Wei,IF,L,R,174,76,1997
45,LIN Yu-Min,P,L,L,180,82,2003
27,LIN Chia-Cheng,C,R,R,185,91,1997
83,LIN Li,IF,R,R,182,86,1996
77,LIN An-Ko,OF,L,L,184,90,1997
18,LIN Kai-Wei,P,R,R,178,79,1996
35,PAN Chieh-Kai,IF,L,R,184,78,1994
32,TSENG Song-En,OF,L,R,178,92,2000
64,WANG Chih-Hsuan,P,L,L,175,72,2001
21,WU Chun-Wei,P,R,R,175,78,1998
58,YUEH Tung-Hua,IF,L,R,178,75,1995
