Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
FLORES NAVARRO,Coraima,ANT,17,29,7,18,4,0.862,0,0,0,,0,0
FONSECA,ALEJANDRA,IRA,8,1,0,0,1,0.000,0,0,0,,0,0
GALARRAGA BRACO,Itziar,FEN,12,31,9,22,0,1.000,2,0,0,,0,0
GALARZA RUBIO,Mishell,ANT,9,6,2,3,1,0.833,0,0,0,,0,0
GAMBÍN OLMO,Indira,ANT,25,86,40,29,17,0.802,1,0,0,,0,0
GARATEA MARIN,Sandra,IRA,31,21,14,5,2,0.905,0,0,0,,0,0
GARCIA DIAZ,Ariadna,CAP,23,38,35,1,2,0.947,3,0,0,,0,0
GARCIA EXPOSITO,Ateneri,CAP,14,10,4,3,3,0.700,0,0,0,,0,0
GARCIA SANZ,Irene,IRA,13,4,0,1,3,0.250,1,0,0,,0,0
GARCIA,Esther,CAM,8,3,3,0,0,1.000,0,0,0,,0,0
GARCÍA CABEDO,Candela,ANT,18,33,29,2,2,0.939,0,0,0,,0,0
GARCÍA TENDERO,Julia,VIL,25,4,3,0,1,0.750,0,0,0,,0,0
GARDE GÁLVEZ,Sara,ANT,24,70,40,26,4,0.943,1,0,0,,0,0
GAVILANES CHALAN,Gema,ANT,4,1,0,0,1,0.000,0,0,0,,0,0
GODAYOL FARRAN,Martina,VIL,4,9,5,4,0,1.000,0,0,0,,0,0
GODINO,Anabel,BCN,32,60,27,22,11,0.817,3,2,0,100.0,0,0
GOMEZ MURILLO,Vanesa,MIR,6,2,1,1,0,1.000,0,0,0,,0,0
GONG,Zibei,ANT,3,2,1,1,0,1.000,0,0,0,,0,0
GONZÁLEZ GARCÍA,Merlys,RIV,24,10,1,8,1,0.900,1,0,0,,0,0
GONZÁLEZ OTERMÍN,Malena,RIV,21,8,0,8,0,1.000,1,0,0,,0,0
GONZÁLEZ PELLO,Eva,FEN,31,34,30,3,1,0.971,2,0,0,,0,0
GORBE LAHUERTA,Angela,MIR,8,3,1,1,1,0.667,0,0,0,,0,0
GRUAS,Alba,SBO,24,37,21,14,2,0.946,3,0,0,,0,0
GUINEA,Inés,DRI,30,132,119,11,2,0.985,3,19,5,79.2,2,0
GUTIÉRREZ,Mireia,SBO,32,18,17,1,0,1.000,1,0,0,,0,0
HAM,Cheska,IRA,4,38,34,2,2,0.947,0,3,1,75.0,0,0
