Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
DE LOS SANTOS BAUTISTA,Winklel Manuel,CAN,22,62,25,33,4,0.935,6,0,0,,0,0
DE LUCA,Nicolas,SET,2,1,1,0,0,1.000,0,0,0,,0,0
DE MARIA,Maurizio,TOR,22,6,6,0,0,1.000,1,0,0,,0,0
DEBERNARDI,Luca,TOR,13,3,1,2,0,1.000,0,0,0,,0,0
DEGL'INNOCENTI,Giacomo,FIO,12,9,3,6,0,1.000,0,0,1,0.0,0,0
DEL BIANCO,Daniele,RIM,3,1,0,1,0,1.000,1,0,0,,0,0
DEL PRIORE,Fabio,ATL,24,109,68,38,3,0.972,8,0,0,,0,0
DELGADO CASTANEDA,Livan Francisco,CAG,28,107,95,9,3,0.972,6,0,0,,0,0
DELMONTE,Tommaso,COL,22,38,37,0,1,0.974,0,0,0,,0,0
DENTONI,Federico,REG,17,4,4,0,0,1.000,0,0,0,,0,0
DEOTTO,Alessandro,COL,25,156,138,15,3,0.981,0,8,6,57.1,0,0
DESIMONI,Stefano,PAR,32,32,31,1,0,1.000,1,0,0,,0,0
DESTRO,Andrea,ROV,1,1,0,1,0,1.000,0,0,0,,0,0
DI FABIO,Lorenzo,RSM,20,45,34,6,5,0.889,1,0,0,,0,0
DI MEO,Lorenzo,SEN,23,83,19,49,15,0.819,6,0,0,,0,0
DI MONTE,Daniele,RON,5,1,1,0,0,1.000,0,0,0,,0,0
DI PERSIA,Daniele,NET,16,62,58,4,0,1.000,5,0,0,,0,0
DI RAFFAELE,Lorenzo,RSM,12,1,1,0,0,1.000,0,0,0,,0,0
DI RAFFAELE,Luca,RSM,12,3,0,2,1,0.667,0,0,1,0.0,0,0
DI RONZA,Claudio,POV,15,96,68,25,3,0.969,7,20,1,95.2,1,0
DI TURI DE FRENZA,Giovanni,MAC,28,163,157,6,0,1.000,1,7,1,87.5,7,0
DIAZ DIAZ,Marcos Antonio,RSM,31,66,31,29,6,0.909,3,0,0,,0,0
DOBA,Ion,MAC,10,2,0,2,0,1.000,1,0,0,,0,0
DOBBOLETTA,Lorenzo,BOL,28,45,42,3,0,1.000,0,0,0,,0,0
DRENI,Julian,ROV,25,55,14,35,6,0.891,2,0,0,,0,0
EBAU,Gabriele,CAG,9,11,10,0,1,0.909,0,0,0,,0,0
ENCARNACIÓN SEGURA,Wander Joel,PAR,30,58,15,38,5,0.914,3,0,0,,0,0
ERRICO,Mirko,ATL,27,52,15,31,6,0.885,3,0,0,,0,0
EVANGELISTA JOSE,Digno Emmanuel,GOD,17,125,116,8,1,0.992,0,11,4,73.3,1,0
EXPOSITO GOTERA,Ernesto David,ROV,23,149,134,14,1,0.993,1,6,8,42.9,2,0
FABIANI,Diego,COL,12,17,3,14,0,1.000,3,0,0,,0,0
FABRIZIO,MIGUEL EDUARDO,MAC,13,59,54,3,2,0.966,3,3,1,75.0,0,0
FAGGI,Matteo,PAU,22,44,39,1,4,0.909,1,0,0,,0,0
