Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
BENITO,Paula,ANT,58,20,27,8,4,0,25,43,0.466,0.741,0.556,1.297,10,3,1,1,1,1,5,1
BERNAL,Rebecca,CAM,19,1,5,0,0,0,2,5,0.263,0.263,0.364,0.627,1,2,3,0,0,1,0,1
BLANCO,Lucía,DRI,40,14,8,0,1,1,5,13,0.200,0.325,0.273,0.598,3,1,13,0,0,0,6,0
BLASCO,Laura,RIV,1,5,0,0,0,0,1,0,0.000,0.000,0.500,0.500,0,1,1,0,0,0,2,0
BODÓN,Saioa,IRA,21,1,0,0,0,0,0,0,0.000,0.000,0.087,0.087,2,0,12,0,0,0,0,0
BOLAÑOS,Sarai,CAP,6,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,2,0,0,0,0,0
BORDANOBA,Nuria,SBO,35,9,8,2,0,0,5,10,0.229,0.286,0.372,0.658,3,5,9,0,0,1,1,0
BOUSBA,Assil,FEN,7,1,2,0,0,0,1,2,0.286,0.286,0.375,0.661,1,0,2,0,0,1,0,0
BRAVO,Iris,DRI,4,2,2,0,0,0,0,2,0.500,0.500,0.500,1.000,0,0,0,0,0,0,1,0
BRIZ,Claudia,CAP,29,6,4,1,0,0,6,5,0.138,0.172,0.265,0.437,5,0,17,0,0,1,1,2
CAICOYA,Carmen,RIV,56,38,27,2,4,4,28,49,0.482,0.875,0.575,1.450,14,1,4,0,2,0,9,0
CAICOYA,Maria,RIV,58,41,27,8,6,2,25,53,0.466,0.914,0.541,1.455,11,2,4,1,3,0,9,2
CARPIO,Helena,IRA,30,7,9,2,1,1,2,16,0.300,0.533,0.364,0.897,3,0,10,0,0,1,1,0
CASANOVA,Yanisleidys,CAP,34,23,20,1,3,5,14,42,0.588,1.235,0.700,1.935,13,2,4,0,1,0,7,1
CASTAÑO,Elsa,DRI,52,10,21,2,0,0,14,23,0.404,0.442,0.475,0.917,4,3,8,0,0,2,2,3
CASTILLO,Angely,FEN,4,0,0,0,0,0,1,0,0.000,0.000,0.167,0.167,1,0,2,0,1,0,0,0
CHERECHES,Noelia,ANT,1,1,0,0,0,0,0,0,0.000,0.000,0.667,0.667,1,1,1,0,0,0,0,0
CIA,Paula,NAV,20,0,3,1,0,0,0,4,0.150,0.200,0.150,0.350,0,0,9,0,0,0,1,0
CIAURRIZ,Isabel,IRA,51,11,12,3,0,0,6,15,0.235,0.294,0.371,0.665,11,0,8,0,0,1,2,0
COLLADO,Valeria,CAP,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
COLMENARES,Elizabeth,RIV,32,14,13,0,0,0,8,13,0.406,0.406,0.525,0.931,7,1,4,0,0,3,3,0
CONEJO,Victoria,OBB,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
CONTIN,Irene,IRA,16,3,3,0,0,0,1,3,0.188,0.188,0.500,0.688,9,1,6,1,0,1,1,1
CONTRERAS,María,FEN,44,9,12,1,1,1,8,18,0.273,0.409,0.347,0.756,4,1,11,0,0,1,5,0
CORTÉS,Noemí,CAM,36,5,7,2,1,0,2,11,0.194,0.306,0.356,0.662,8,1,8,0,0,2,0,0
CRIADO,Cristina,NAV,2,0,0,0,0,0,0,0,0.000,0.000,0.333,0.333,1,0,1,0,0,0,0,0
CRUZ,Oiane,NAV,5,0,1,0,0,0,0,1,0.200,0.200,0.429,0.629,2,0,2,0,0,0,0,0
CRUZ,Rosa,NAV,8,0,1,0,0,0,1,1,0.125,0.125,0.125,0.250,0,0,4,0,0,0,0,1
DE LA PAZ,Verónica,SBO,38,8,18,5,1,2,12,31,0.474,0.816,0.532,1.348,7,0,7,0,2,0,0,0
DEL PINO,Emma,VIL,58,14,14,5,1,0,10,21,0.241,0.362,0.338,0.700,9,0,7,0,1,0,2,1
DEL PINO,María,VIL,13,3,2,0,0,0,1,2,0.154,0.154,0.313,0.467,3,0,6,0,0,0,0,0
DENIA,Yulan,FEN,66,22,30,7,3,2,14,49,0.455,0.742,0.500,1.242,4,2,4,0,0,2,3,0
DIAZ GARABAN,Jocelin Alejandra,RIV,58,33,34,8,0,7,33,63,0.586,1.086,0.643,1.729,10,1,5,0,1,0,5,0
DIAZ,Alba,NAV,30,14,3,0,0,0,1,3,0.100,0.100,0.386,0.486,13,1,13,0,0,0,5,0
DOMERO,Mariona,VIL,54,11,27,3,2,1,10,37,0.500,0.685,0.565,1.250,7,1,7,0,0,0,2,0
DONOSO VAQUERO,Carol,ANT,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
DONOSO,Sara,ANT,10,2,1,0,0,0,0,1,0.100,0.100,0.100,0.200,0,0,5,0,0,0,0,0
ECHARRI,Ainhoa,SBO,4,0,1,0,0,0,1,1,0.250,0.250,0.400,0.650,1,0,2,0,0,0,0,0
