Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
CASADO,Diego,DEU,4,1,3,1,0,0,2,4,0.750,1.000,0.750,1.750,0,0,1,0,0,0,0,0
CEDEÑO,Aquiles,TBS,33,18,23,6,0,2,18,35,0.697,1.061,0.706,1.767,0,1,2,0,0,0,11,1
CLAES,Wesley,CHI,26,15,13,5,2,1,9,25,0.500,0.962,0.567,1.529,4,0,0,0,0,0,3,0
CLOOTS,Marco,CHI,26,7,7,0,0,0,6,7,0.269,0.269,0.345,0.614,2,1,3,0,0,0,3,0
COLANS,Jeffrey,DEU,16,3,3,0,0,0,3,3,0.188,0.188,0.409,0.597,6,0,6,0,0,0,0,1
COPPENS,Danny,GRE,2,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
COPPENS,Tom,GRE,22,10,8,3,0,1,5,14,0.364,0.636,0.531,1.167,8,1,7,0,1,0,4,0
DAELMAN,Jorne,GRE,11,4,4,0,0,0,3,4,0.364,0.364,0.429,0.793,2,0,0,0,1,0,3,0
DE BRUYN,Arne,ANT,1,2,0,0,0,0,0,0,0.000,0.000,0.667,0.667,1,1,0,0,0,0,1,0
DE CLOEDT,Jelle,CHI,19,5,8,2,1,1,13,15,0.421,0.789,0.429,1.218,1,0,2,0,1,0,3,0
DE RYCK,Ben,BRU,24,7,6,0,0,1,11,9,0.250,0.375,0.400,0.775,4,2,12,0,0,0,3,0
DE SMET,Niels,HEI,27,4,5,0,0,0,3,5,0.185,0.185,0.313,0.498,5,0,12,0,0,0,3,0
DE VOCHT,Robin,ANT,4,0,1,0,0,0,0,1,0.250,0.250,0.250,0.500,0,0,2,0,0,0,0,0
DE WOLF,Nigel,ANT,15,6,5,0,1,0,7,7,0.333,0.467,0.375,0.842,0,1,5,0,0,0,1,0
EELEN,Lars,TBS,4,1,1,0,0,0,1,1,0.250,0.250,0.250,0.500,0,0,3,0,0,0,0,0
FERNANDEZ POLANCO,Fernando,BRU,4,1,0,0,0,0,0,0,0.000,0.000,0.200,0.200,1,0,3,0,0,0,0,0
GEBRUERS,Jan,TBS,24,20,11,1,2,0,5,16,0.458,0.667,0.649,1.316,13,0,7,0,0,0,21,2
GELDOF,Dean,GRE,9,5,4,0,1,0,1,6,0.444,0.667,0.545,1.212,2,0,2,0,0,0,1,0
GELDOF,Vincent,ANT,8,5,4,3,0,0,5,7,0.500,0.875,0.636,1.511,3,0,1,0,0,0,1,0
GILLES,Dario,ANT,9,1,2,0,0,0,0,2,0.222,0.222,0.222,0.444,0,0,1,0,0,0,1,0
GODEFROI,Christophe,BRU,16,3,2,0,0,0,1,2,0.125,0.125,0.333,0.458,4,1,6,0,0,0,2,0
GOOS,Yannick,GRE,3,3,2,0,0,1,4,5,0.667,1.667,0.667,2.334,0,0,0,0,0,0,0,0
GUERRA ARTEAGA,Juan Carlos,DEU,14,6,5,2,0,0,2,7,0.357,0.500,0.500,1.000,4,0,0,0,0,0,0,0
HABRAKEN,Steff,TBS,16,4,5,0,0,0,5,5,0.313,0.313,0.421,0.734,3,0,2,0,0,0,4,0
HEIVERS,Daan,HEI,24,7,11,1,1,1,10,17,0.458,0.708,0.500,1.208,2,0,3,1,0,0,4,0
HENS,Nick,CHI,2,0,0,0,0,0,0,0,0.000,0.000,0.333,0.333,1,0,2,0,0,0,0,0
HERMANS,Jef,TBS,16,8,8,2,0,0,8,10,0.500,0.625,0.636,1.261,4,2,3,0,0,0,8,0
HEYKERS,Lars,ANT,18,6,4,1,0,0,1,5,0.222,0.278,0.391,0.669,2,3,2,0,0,0,4,0
HEYLEN,Dave,DEU,4,0,0,0,0,0,1,0,0.000,0.000,0.333,0.333,2,0,4,0,0,0,0,0
IMHOF,Thomas,TBS,19,8,10,0,1,0,4,12,0.526,0.632,0.600,1.232,4,1,4,0,1,0,13,0
JANSSEN,Aerjen,CHI,11,1,2,0,0,0,3,2,0.182,0.182,0.250,0.432,1,0,4,0,0,0,0,0
JANSSEN,Tom,CHI,4,1,2,0,1,0,2,4,0.500,1.000,0.500,1.500,0,0,0,0,0,0,0,0
JANSSENS,Fien,HEI,1,1,0,0,0,0,0,0,0.000,0.000,0.750,0.750,3,0,1,0,0,0,0,0
KASCHL,Arno,BRU,13,4,4,1,0,0,2,5,0.308,0.385,0.400,0.785,2,0,2,0,0,0,1,0
KENNES,Jutta,HEI,14,3,2,0,0,0,2,2,0.143,0.143,0.400,0.543,6,0,2,0,0,0,1,0
KENNES,Voyt,HEI,1,0,1,1,0,0,1,2,1.000,2.000,1.000,3.000,0,0,0,0,0,0,0,0
KOK,Jordy,TBS,12,10,4,1,0,0,3,5,0.333,0.417,0.467,0.884,2,1,1,0,0,0,6,0
KOSAKA,Kohei,BRU,13,6,5,0,0,2,2,11,0.385,0.846,0.467,1.313,2,0,1,0,0,0,1,0
LAENEN,Patrick,ANT,7,3,2,0,0,1,4,5,0.286,0.714,0.444,1.158,2,0,3,0,0,0,0,0
LANOOTE,Jeroen,ANT,15,10,11,1,0,0,10,12,0.733,0.800,0.810,1.610,6,0,1,0,0,0,1,0
