Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
TREJO,Alan,MEX,13,2,5,3,0,2,5,14,0.385,1.077,0.467,1.544,1,1,4,1,0,0,1,0
TSENG,Song-En,TPE,4,0,1,0,0,0,0,1,0.250,0.250,0.400,0.650,1,0,2,1,0,0,0,0
VAN BORKULO,Jair,NED,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0
VAN DER MEER,Stijn,NED,3,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0
VAZ,Javier,PUR,16,3,3,1,0,0,0,4,0.188,0.250,0.409,0.659,6,0,4,1,0,0,0,1
VILLEGAS,Edgardo,PUR,17,3,3,0,0,0,0,3,0.176,0.176,0.300,0.476,3,0,6,1,0,0,0,0
VIÑALES,Rafael,CUB,5,1,1,0,0,1,1,4,0.200,0.800,0.200,1.000,0,0,0,1,0,0,0,0
WALTERS,Jean Harvin,CUB,6,1,2,0,0,0,0,2,0.333,0.333,0.333,0.666,0,0,1,0,0,1,1,0
WARD,Ryan,USA,15,5,5,0,0,4,10,17,0.333,1.133,0.353,1.486,1,0,6,0,1,0,0,0
WHITEFIELD,Aaron,AUS,12,1,4,0,0,0,0,4,0.333,0.333,0.385,0.718,1,0,2,0,0,0,0,1
WILLIAMS,Carson,USA,15,2,3,1,0,0,0,4,0.200,0.267,0.400,0.667,5,0,6,0,0,0,3,0
WILSON,Alexis,MEX,9,1,0,0,0,0,0,0,0.000,0.000,0.100,0.100,0,1,3,1,0,0,1,0
WINGROVE,Rixon,AUS,11,1,2,0,0,1,3,5,0.182,0.455,0.250,0.705,1,0,5,0,0,0,0,0
WRIGHT,Joshwan,PAN,11,0,3,1,0,0,1,4,0.273,0.364,0.333,0.697,1,0,1,0,0,0,0,0
YOON,Donghee,KOR,10,0,1,1,0,0,1,2,0.100,0.200,0.182,0.382,1,0,6,0,0,0,0,0
