Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
HENRIQUE,Roelie,AMS,76,19,20,4,0,0,8,24,0.263,0.316,0.363,0.679,11,2,7,3,2,1,12,0
HERKEMIJ,Cris,DKI,25,6,3,0,0,0,1,3,0.120,0.120,0.371,0.491,8,2,6,1,0,0,3,1
HOFER,Nick,DKI,111,16,34,4,0,0,15,38,0.306,0.342,0.402,0.744,17,2,19,3,2,1,7,8
IRAUSQUIN,Edvin,RCH,49,7,10,2,0,0,5,12,0.204,0.245,0.333,0.578,9,1,13,1,1,0,3,0
ISENIA,Aaron,QUI,63,6,16,3,0,1,11,22,0.254,0.349,0.319,0.668,6,0,20,1,0,0,0,0
JACOBS,Raul,RCH,108,27,36,0,0,0,6,36,0.333,0.333,0.429,0.762,12,6,11,0,0,4,14,2
JAKOBUS,Jason,AMS,45,12,5,0,0,0,5,5,0.111,0.111,0.276,0.387,8,3,9,0,2,0,3,0
JAKOBUS,Marvin,UVV,114,25,37,7,0,6,32,62,0.325,0.544,0.451,0.995,24,4,21,2,2,0,7,1
JAMANIKA,Sheadion,NEP,83,15,23,6,0,0,9,29,0.277,0.349,0.333,0.682,6,1,12,3,0,0,5,1
JANSEN,Max,HCA,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0
KEMP,Dwayne,NEP,132,24,45,9,4,1,27,65,0.341,0.492,0.366,0.858,6,1,7,6,3,0,16,1
KEMP,Tyriq,NEP,57,20,17,4,3,0,7,27,0.298,0.474,0.438,0.912,14,1,8,2,1,0,8,2
KEMP,Urving,AMS,80,17,18,4,0,2,18,28,0.225,0.350,0.354,0.704,15,1,23,1,0,4,6,2
KOEIMAN,Chris,RCH,2,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
KOPS,Bo,TWI,6,2,2,0,0,0,3,2,0.333,0.333,0.429,0.762,1,0,3,0,0,0,0,0
KORTSTAM,Raoell,UVV,5,1,2,0,0,0,1,2,0.400,0.400,0.400,0.800,0,0,2,0,0,1,0,0
KRAGT,Finn,AMS,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0
KUIJPER,Donny,DKI,93,9,21,5,0,1,19,29,0.226,0.312,0.333,0.645,13,2,15,2,0,2,0,0
KUIJPER,Sem,DKI,89,12,30,9,0,1,15,42,0.337,0.472,0.413,0.885,12,1,13,0,2,0,0,1
KUIPERS,Stefan,QUI,99,6,23,3,0,0,10,26,0.232,0.263,0.283,0.546,7,0,31,4,0,1,2,0
KWAKERNAAK,Thomas,DKI,6,1,1,0,0,0,0,1,0.167,0.167,0.167,0.334,0,0,0,0,0,0,0,0
LEGITO,Raydley,RCH,23,6,5,1,0,0,2,6,0.217,0.261,0.438,0.699,1,8,6,0,0,1,4,1
MAATHUIS,Thomas,HCA,6,1,1,0,0,0,0,1,0.167,0.167,0.167,0.334,0,0,1,0,0,0,0,0
MADERA,Alex,AMS,121,24,29,7,0,1,17,39,0.240,0.322,0.324,0.646,16,0,17,0,2,4,8,1
MARLIN,Malcolm,RCH,99,14,18,1,0,0,7,19,0.182,0.192,0.305,0.497,15,3,22,2,1,1,5,4
MARLIN,Shurman,HCA,114,13,31,5,0,1,27,39,0.272,0.342,0.384,0.726,19,3,17,6,2,0,3,2
MARTIE,Yurdion Franklin,AMS,64,16,19,1,1,1,12,25,0.297,0.391,0.427,0.818,13,3,11,4,2,1,1,1
MARTINA,Brendly,HCA,102,25,29,7,0,0,12,36,0.284,0.353,0.398,0.751,18,2,22,0,1,3,8,1
MARTINA,T'sean,RCH,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,1,0,0,0,0,0
MEIJER,Andreas,PIO,70,5,11,3,1,1,6,19,0.157,0.271,0.234,0.505,5,2,22,1,0,2,1,0
MELFOR,Tilsaimy,RCH,116,17,42,14,0,4,35,68,0.362,0.586,0.400,0.986,4,4,20,1,1,1,1,1
MERCADO REYES,Tyrell,PIO,69,16,23,3,0,0,4,26,0.333,0.377,0.432,0.809,11,1,13,0,0,1,3,2
MEVISSEN,Vincent,PIO,67,8,17,1,0,0,6,18,0.254,0.269,0.412,0.681,16,2,12,1,0,0,1,2
MOHAMED,Jayden,NEP,28,6,10,1,0,1,10,14,0.357,0.500,0.357,0.857,0,0,6,0,0,0,0,1
MONTENEGRO,Mauricio,NEP,2,1,1,0,0,0,2,1,0.500,0.500,0.500,1.000,0,0,0,0,0,0,0,0
MULLER,Luca,QUI,19,1,3,1,0,0,2,4,0.158,0.211,0.190,0.401,1,0,11,0,1,0,0,0
