Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
LUCIANO,Bladimir,BCN,26,15,10,3,2,0.867,0,2,0,100.0,0,0
LUGO,Eudi,ANT,6,8,7,0,1,0.875,0,0,0,,0,0
LÓPEZ,Elvinyer,BCN,14,39,35,1,3,0.923,1,1,0,100.0,0,0
LÓPEZ,Juan,ANT,8,14,9,2,3,0.786,0,0,0,,0,0
LÓPEZ,Juan,SBO,7,5,2,3,0,1.000,0,0,0,,0,0
LÓPEZ,Luís,MIR,26,121,46,58,17,0.860,10,0,0,,0,0
LÓPEZ,Marco,MIR,24,76,66,5,5,0.934,0,0,0,,0,0
LÓPEZ,Rafael,SBO,10,5,5,0,0,1.000,0,0,0,,0,0
MACÍAS,Yelco,IRA,22,14,9,1,4,0.714,1,0,0,,0,0
MADRIGAL,Oric,MAR,11,16,7,9,0,1.000,3,0,0,,0,0
MALED,Guillem,SBO,18,55,50,4,1,0.982,0,13,2,86.7,0,0
MARRERO,José,VIL,28,178,167,8,3,0.983,9,4,1,80.0,0,0
MARTINEZ,Pau,ANT,10,14,12,2,0,1.000,1,0,0,,0,0
MARTÍN,Jorge,MIR,21,79,68,6,5,0.937,0,24,1,96.0,0,0
MARTÍNEZ,Francisco,IRA,24,110,94,12,4,0.964,7,5,1,83.3,0,0
MATA SALAZAR,Juan Carlos,ANT,9,29,27,2,0,1.000,1,0,0,,0,0
MAZÓN,Lluc,VIL,7,5,1,3,1,0.800,0,0,0,,0,0
MEEHAN,David,VIL,18,37,32,5,0,1.000,0,0,0,,0,0
MENDOZA,Leonel,INA,15,19,6,11,2,0.895,0,0,2,0.0,0,0
MENDOZA,Ricardo,MAR,19,12,11,0,1,0.917,0,0,0,,0,0
MENDOZA,Willian,VIL,24,105,94,9,2,0.981,3,16,3,84.2,1,0
MERÁN,Ángel,BCN,18,37,32,3,2,0.946,0,0,0,,0,0
MINAYA,Brady,VIL,8,5,3,2,0,1.000,0,0,0,,0,0
MIRANDA,Javier,VIL,2,4,4,0,0,1.000,0,0,0,,0,0
MODREGO,Iñaki,TOR,7,7,5,1,1,0.857,1,0,0,,0,0
MONTAÑO,Héctor,MIR,12,23,3,20,0,1.000,0,1,3,25.0,0,0
