Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
LAMBEAU,Max,HOB,0,0,0.00,1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,1,0.000,0,0,0,0,0,0,1
LAUREYS,Matthew,HEI,0,1,42.00,5,1,0,0,0,3.2,12,31,22,19,8,3,3,1,24,0.500,4,2,0,0,0,2,1
LECLUYSE,Joey,OOS,1,0,9.55,8,1,0,0,0,7.1,7,19,10,21,15,2,1,0,28,0.250,4,4,0,0,0,4,1
LEMAIRE,Maxim,SER,0,6,15.35,9,6,0,0,0,17.1,21,47,38,48,32,3,2,1,68,0.309,2,1,0,0,0,6,9
LEO,Noah,SER,0,0,0.00,1,0,0,0,0,0.0,1,3,3,5,0,0,0,0,1,1.000,0,0,0,0,0,0,0
LEYS,Wieke,OUD,0,0,10.50,1,0,0,0,0,0.2,1,2,1,1,3,0,0,0,4,0.250,1,1,0,0,0,0,0
LIESSENS,Robbe,CHI,4,2,6.88,8,6,0,0,0,19.1,11,23,19,26,32,2,1,1,65,0.169,2,4,0,0,0,14,8
LORIES,Samuël,BRI,0,0,63.00,1,0,0,0,0,0.1,4,3,3,1,1,0,0,0,5,0.800,1,0,0,0,0,0,0
LORRENTOP,Jasper,HOB,2,0,10.89,7,2,0,0,0,9.0,6,24,14,27,20,2,0,1,31,0.194,9,1,0,0,0,3,2
MALFAIT,Arno,OUD,3,0,23.80,5,4,0,1,0,5.0,8,23,17,23,9,3,0,0,21,0.381,1,3,0,0,0,0,4
MARTENS,Lex,CHI,1,2,9.95,7,3,0,0,0,12.2,17,25,18,15,21,3,3,0,52,0.327,2,6,0,0,0,7,6
MARTINEZ ISHIHARA,Kentaro,MER,4,1,2.95,7,5,0,0,0,19.0,12,11,8,11,42,2,2,1,67,0.179,1,1,0,0,0,10,1
MENZO,Tristan,POP,0,0,56.00,2,0,0,0,0,1.0,2,11,8,9,1,1,0,0,5,0.400,4,0,0,0,0,0,0
MOENS,Lennart,OOS,0,0,19.83,5,0,0,0,0,6.0,13,28,17,20,10,0,0,0,27,0.481,11,7,0,0,0,3,1
MONCHATRE,Laura,OUD,0,1,18.00,2,1,0,0,0,2.1,5,12,6,6,3,0,0,0,12,0.417,0,2,0,0,0,3,1
MUMENTHALER,Max,BRI,0,0,2.33,1,0,0,0,0,3.0,0,1,1,4,5,0,0,0,8,0.000,1,0,0,0,0,0,3
NIAZI,Ilhamullah,BOR,0,0,3.50,2,0,0,0,0,2.0,0,1,1,4,1,0,0,0,4,0.000,0,0,0,0,0,2,1
NIAZI,Wasiullah,BOR,5,3,8.58,14,8,0,0,0,31.0,22,55,38,67,60,3,3,1,100,0.220,5,1,0,0,2,14,3
NUNEZ ALONZO,Matthias,MSG,0,0,147.00,1,0,0,0,0,0.1,5,11,7,8,1,0,0,0,6,0.833,3,0,0,0,0,0,0
NUYTTENS,Nino,WIE,2,1,27.30,3,3,0,1,0,3.1,3,15,13,17,6,1,1,0,9,0.333,1,3,0,0,0,0,0
OCCHIONORELLI,Naoto,BRU,2,0,1.71,7,2,0,0,0,16.1,5,10,4,21,34,0,0,0,52,0.096,5,1,0,0,0,7,4
OREEL,Andreas,POP,1,1,96.00,7,2,0,0,0,2.1,9,44,32,39,0,0,1,0,12,0.750,3,2,0,0,0,2,0
PAULO,Juendrick,GEN,2,0,1.75,9,2,0,0,0,20.0,10,12,5,18,35,2,0,0,67,0.149,7,3,0,0,0,13,6
PETY,Leon,POP,0,0,0.00,1,0,0,0,0,0.0,1,0,0,1,0,0,0,0,1,1.000,0,0,0,0,0,0,0
PIQUERAY,Aurelien,NAM,0,0,31.50,1,0,0,0,0,1.1,1,6,6,7,1,0,1,0,4,0.250,0,2,0,0,0,1,1
PLACEK,Benjamin,BRU,4,0,8.17,6,4,0,0,0,12.0,14,15,14,16,17,2,0,1,44,0.318,1,3,0,0,0,9,4
PLASSCHAERT,Guust,ZOT,0,2,16.28,8,2,0,0,0,13.1,34,36,31,11,20,5,1,6,69,0.493,1,2,0,0,0,4,7
PREVIATELLO,Massimiliano,BIN,0,0,13.36,3,1,0,0,0,3.2,6,9,7,7,4,1,1,0,14,0.429,0,1,0,0,0,3,1
PROVOST,Mauro,OUD,0,2,18.95,9,2,0,1,0,13.2,26,54,37,49,25,4,1,1,60,0.433,10,4,0,1,0,5,3
RAEYMAKERS,Vincent,BRA,0,1,28.88,2,1,0,0,0,2.2,9,12,11,4,1,2,0,1,17,0.529,0,1,0,0,0,5,2
REDIERS,Milan,BRA,0,0,1.40,3,0,0,0,0,5.0,2,3,1,6,8,0,0,0,14,0.143,1,0,0,0,0,3,1
ROCHETTE,Theophile,NAM,0,0,0.00,1,0,0,0,0,0.2,1,0,0,2,1,0,0,0,2,0.500,0,0,0,0,0,0,0
ROMANO,Hugo,SER,1,1,11.74,7,2,0,1,1,11.1,20,21,19,18,9,2,1,1,45,0.444,0,4,0,0,0,8,8
SANTENS,William,GRE,2,3,26.25,7,6,0,0,0,9.1,34,45,35,15,18,8,1,1,63,0.540,9,2,0,1,1,7,3
SCHATS,Lotte,WBA,6,0,2.16,6,6,0,0,0,22.2,10,7,7,10,53,1,1,0,76,0.132,1,1,0,0,0,8,4
SCHEIRS,Rube,OOS,0,0,6.30,2,0,0,0,0,3.1,3,7,3,5,4,0,0,1,13,0.231,3,0,1,0,0,4,2
SEYNAEVE-VROMAN,Emile,MSG,2,5,9.15,8,8,0,0,0,20.2,23,36,27,23,29,4,4,3,85,0.271,1,6,0,0,0,24,6
SHEPHERD,Sara,GRE,0,1,32.81,3,1,0,1,0,5.1,17,30,25,16,7,6,3,0,30,0.567,4,3,0,0,0,1,5
SOBOLEFF,Alexandre,SER,0,0,0.00,1,0,0,0,0,1.0,1,2,0,3,1,0,0,0,3,0.333,2,1,0,0,0,0,1
SZABADOS,Maxime,AND,0,0,36.75,3,0,0,0,0,2.2,8,23,14,11,6,1,1,2,18,0.444,0,0,0,0,0,2,0
T'SIOBBEL,Nolle,ZOT,2,3,5.32,8,5,0,1,0,23.2,15,18,18,23,53,5,0,1,80,0.188,1,5,1,0,0,11,1
TAILLIEU,Remi,POP,0,7,8.01,10,8,0,0,0,25.1,18,49,29,19,74,5,2,1,105,0.171,3,6,1,0,0,8,3
VAN ACKER,Raf,WIE,0,1,7.00,3,1,0,1,0,7.0,3,13,7,11,11,0,0,0,24,0.125,2,0,0,0,0,8,2
