Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
fermin,Luiis,RED,0,0,,2,0,0,0,0,1.1,4,5,4,0,2,1,0,0,7,,2,2,0,,,,
Bracci,Marco,AQUA,0,0,,1,0,0,0,0,1.0,3,4,3,0,0,0,0,0,7,,1,0,0,,,,
Pus,Ondrej,ROYAL,0,0,,1,0,0,0,0,0.2,2,2,2,2,2,0,0,0,4,,0,0,0,,,,
Araya,Camilo,ORANG,0,0,,2,0,0,0,0,1.1,4,7,5,4,2,2,0,0,7,,5,0,0,,,,
van der Erve,Gerain,ORANG,0,1,,1,1,0,0,0,0.2,2,4,3,3,0,0,0,0,5,,0,0,0,,,,
Kocab,Matyas,ROYAL,0,0,,1,1,0,0,0,1.0,1,5,5,6,0,0,0,0,1,,1,0,0,,,,
Gienger,Leonard,BLACK,0,0,,1,0,0,0,0,0.0,0,2,2,3,0,0,0,0,0,,3,0,0,,,,
Walo,Sebastian,ORANG,0,0,,1,0,0,0,0,0.0,2,3,3,1,0,1,0,0,2,,0,0,0,,,,
Fierlbeck,Brayden,GOLD,0,0,,1,0,0,0,0,0.0,0,5,4,4,0,0,0,0,1,,3,0,0,,,,
Lomi,Dario,AQUA,0,0,,1,0,0,0,0,0.0,0,3,3,3,0,0,0,0,0,,0,0,0,,,,
