Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
HUTTENER,Quinten,MER,2,3,3,0,0,1.000,0,0,0,,0,0
HUVELLE,Damien,NAM,2,7,5,2,0,1.000,1,0,0,,0,0
HYMERS,John,LEU,1,3,3,0,0,1.000,0,0,0,,0,0
HYMERS,Thomas,LEU,4,1,1,0,0,1.000,0,0,0,,0,0
IMPENS,Kai,WIE,1,4,0,2,2,0.500,0,0,0,,0,0
IMPENS,Kihlany,WIE,1,5,4,0,1,0.800,0,0,0,,0,0
JACOBS,Jason,OOS,6,43,34,6,3,0.930,0,62,1,98.4,7,0
KENNES,Voyt,HEI,9,4,3,0,1,0.750,0,0,0,,0,0
KHLAPOV,Dmitrii,LEU,8,14,13,1,0,1.000,0,12,0,100.0,0,0
KROTOSIK,Erwan,SER,6,4,3,0,1,0.750,0,0,0,,0,0
LANNOO,Dries,WIE,3,5,1,1,3,0.400,0,0,0,,0,0
LAUREYS,Matthew,HEI,4,4,3,0,1,0.750,0,0,0,,0,0
LECLERCQ,Martin,BRU,6,4,2,0,2,0.500,0,0,0,,0,0
LEGRIS,Oscar,BRU,3,14,11,2,1,0.929,0,27,0,100.0,3,0
LEMMENS,Niels,OOS,6,3,1,2,0,1.000,0,0,0,,0,0
LEONARD,Antoine,MSG,5,15,8,3,4,0.733,3,0,0,,0,0
LEONARD,Martin,NAM,3,1,1,0,0,1.000,0,0,0,,0,0
LEROY,Thomas,NAM,1,1,0,0,1,0.000,0,0,0,,0,0
LETTANY,Adam,BRU,4,1,0,1,0,1.000,0,0,0,,0,0
LINARES REYES,Hugo Leonel,DEU,6,7,4,2,1,0.857,0,0,0,,0,0
LOEDTS,Panays Jeff,LEU,2,10,9,1,0,1.000,0,14,0,100.0,2,0
LYCKE,Liam,BRU,4,5,1,1,3,0.400,0,0,0,,0,0
MANCHE,Dimitri,SER,10,49,34,10,5,0.898,1,90,1,98.9,15,0
MANSO GUERRA,Yerandy,DEU,7,39,29,8,2,0.949,3,19,2,90.5,1,0
MARION,Vincent,MSG,10,5,0,3,2,0.600,0,1,0,100.0,0,0
MARZINO,Ethan,SER,15,16,8,3,5,0.688,2,36,0,100.0,0,0
MAVO GARCIA,Luis Alfonso,DEU,3,2,1,1,0,1.000,0,0,0,,0,0
MEEUS,Gregoire,BRU,6,3,2,0,1,0.667,0,0,0,,0,0
MEGANCK,Kyran,MER,3,11,2,6,3,0.727,0,0,0,,0,0
MESKENS,Cas,MER,6,26,22,2,2,0.923,0,13,0,100.0,5,0
MICHIELSEN,Rune,CAN,3,8,6,2,0,1.000,0,16,2,88.9,7,0
MOONS,Maarten,MER,2,3,3,0,0,1.000,0,0,0,,0,0
MOORS,Leander,LEU,5,2,1,0,1,0.500,0,0,0,,0,0
MUMENTHALER,Frédéric,BRI,3,2,2,0,0,1.000,0,0,0,,0,0
NICLES COBAS,Dennis,ANT,1,1,0,0,1,0.000,0,0,0,,0,0
NICLES COBAS,Dennis,ANT,2,2,2,0,0,1.000,0,0,0,,0,0
NIETO GUTIERREZ,Jose Ivan,DEU,6,7,3,1,3,0.571,0,0,0,,0,0
NILS,Alexis,SER,11,11,4,5,2,0.818,0,17,0,100.0,2,0
NYST,Alexandre,BRI,3,24,20,1,3,0.875,0,34,0,100.0,2,0
PACHECO ESPILDORA,Danilo,MER,2,2,0,2,0,1.000,0,0,0,,0,0
PAPANIKITAS,Tobias,ANT,11,6,1,5,0,1.000,0,2,0,100.0,0,0
PARISEL,Vincent,MSG,6,2,2,0,0,1.000,0,0,0,,0,0
PECHEUR,Arnaud,NAM,3,8,1,6,1,0.875,0,0,0,,0,0
PEETERS,Kevin,ANT,2,1,1,0,0,1.000,0,0,0,,0,0
PETER,Lou,CAN,2,2,2,0,0,1.000,0,0,0,,0,0
PICQUET,Corentin,MSG,3,9,8,1,0,1.000,2,2,0,100.0,0,0
PINEDA VILLAMEDIANA,Johnny Ysmael,DEU,7,37,29,1,7,0.811,2,0,0,,0,0
PLOMPEN,Xaime,CAN,6,29,22,2,5,0.828,2,0,0,,0,0
POLFLIET,Arno,ANT,4,4,1,2,1,0.750,0,0,0,,0,0
PÉREZ,Miguel,BRI,1,1,0,1,0,1.000,0,0,0,,0,0
RAMIREZ YOY,Rey De Jesus,ANT,4,2,2,0,0,1.000,0,0,0,,0,0
ROBAEYS,Axel,BRU,1,1,1,0,0,1.000,0,0,0,,0,0
RUIJTER,Sam,DEU,11,20,8,9,3,0.850,1,0,1,0.0,0,0
RUIZ MORILLO,Alfredo De J,DEU,3,6,4,1,1,0.833,0,0,0,,0,0
RÉGNIEZ,Hugo,MSG,5,8,4,2,2,0.750,0,0,0,,0,0
SANCHEZ,Ernesto,ANT,2,8,7,0,1,0.875,0,0,0,,0,0
SANCHEZ,Ernesto,ANT,7,27,25,0,2,0.926,1,0,0,,0,0
SANTAMARIA,Andrea,SER,8,34,30,1,3,0.912,1,0,0,,0,0
SATENS,Matthew,HEI,4,7,2,5,0,1.000,0,0,0,,0,0
SCAUFLAIR,Bastien,SER,5,3,3,0,0,1.000,0,0,0,,0,0
SCHAECK,Dempsey,CAN,10,10,5,4,1,0.900,0,7,0,100.0,0,0
